Rk,Team,Conf,W-L,NetRtg,ORtg,,DRtg,,AdjT,,Luck,,SNetRtg,,SORtg,,SDRtg,,SOSNetRtg,
107,CSUN,BW,22-10,5.14,109.2,128,104,115,72.4,8,0.012,140,-2.26,194,105.3,239,107.6,180,-5.2,314
108,Washington,B10,13-18,5.08,109.2,129,104.1,118,67.7,153,0.011,152,12.75,31,113.7,26,100.9,33,-4.2,295
109,Florida Atlantic,Amer,18-14,4.93,112.1,85,107.2,182,69,83,-0.009,207,2.46,105,108.1,110,105.6,119,4.38,62
110,North Alabama,ASun,24-10,4.93,112,87,107.1,179,66.7,215,0.006,161,-5.58,296,104.8,264,110.3,336,-3,262
111,Chattanooga,SC,24-9,4.9,115.2,58,110.3,245,66.6,218,0.045,74,-2.85,223,104.9,259,107.7,187,0.07,166
112,California,ACC,14-19,4.67,111.4,94,106.7,171,67.6,160,-0.038,283,6.75,75,111,72,104.2,89,-1.51,219
113,Loyola Chicago,A10,21-10,4.5,107.5,156,103,97,67.2,190,0.075,35,-0.23,154,106.3,185,106.5,143,-9.16,354
114,Middle Tennessee,CUSA,22-10,4.39,109.1,131,104.7,130,68.5,112,0.105,16,2.49,103,107,145,104.5,97,2.63,94
115,Syracuse,ACC,14-19,4.37,110.5,104,106.1,156,68.3,126,0.026,110,8.5,64,111.6,59,103.1,70,2.43,104
116,Samford,SC,22-10,4.33,112.6,78,108.3,206,71,25,0.018,132,-2.78,220,105.7,217,108.5,218,-0.37,184
117,DePaul,BE,14-19,4.29,109.7,115,105.4,143,67,204,-0.038,282,8.29,67,110.6,76,102.3,57,-9.6,357
118,UAB,Amer,20-11,4.24,116.8,36,112.6,294,69,86,-0.025,253,-1.99,184,105.7,219,107.7,182,-8.77,353
119,Wofford,SC,19-15,4.16,113.7,68,109.5,229,64.2,332,-0.032,269,-0.78,163,106.8,159,107.5,175,5.29,47
120,Jacksonville St.,CUSA,21-11,4.15,109,137,104.8,131,65.1,299,0.038,84,1.19,120,106.9,149,105.7,121,-0.17,178
121,Utah Valley,WAC,24-7,4.15,105.9,199,101.8,83,68.3,124,0.104,17,-2.42,199,104.9,257,107.3,166,0.6,147
122,South Alabama,SB,21-11,4.07,107.5,158,103.4,105,63.2,353,-0.042,289,-4.25,272,104.2,285,108.5,220,-3.13,268
123,Northern Colorado,BSky,25-9,4.06,112.1,86,108.1,202,68.8,93,0.042,78,-4.11,270,105.6,224,109.7,302,2.15,108
124,Washington St.,WCC,19-14,3.95,111.7,90,107.8,196,70.6,32,0.076,34,4.19,95,109.4,89,105.2,107,2.6,95
125,N.C. State,ACC,12-19,3.8,107.6,154,103.8,110,65.3,291,-0.079,346,6.92,73,111.1,70,104.1,87,-5.18,312
126,Louisiana Tech,CUSA,20-12,3.71,109.1,132,105.4,142,64.5,323,0.031,99,0.86,130,105.9,201,105.1,103,-2.44,244
127,St. Thomas,Sum,24-10,3.46,113.7,69,110.2,244,67.9,140,-0.01,209,-3.54,249,106.8,154,110.4,340,-0.53,191
128,Belmont,MVC,22-11,3.35,112.4,81,109,222,70.7,30,0.081,29,-0.03,148,106.9,150,106.9,152,-1.6,225
129,Kent St.,MAC,22-10,3.12,106.2,191,103,98,66,255,0.039,82,-4.1,269,105.5,230,109.6,295,1.81,119
130,New Mexico St.,CUSA,17-15,2.97,104.5,218,101.6,78,64.9,310,-0.037,278,2.32,108,106.8,160,104.4,96,1.8,120
131,Duquesne,A10,13-19,2.9,106.1,192,103.2,101,65.3,290,-0.127,361,2.08,112,107.2,137,105.1,106,-1.95,231
132,Kennesaw St.,CUSA,19-13,2.89,106.3,189,103.4,104,70.5,35,0.051,67,2.7,101,107,146,104.2,91,3.03,89
133,Cornell,Ivy,17-10,2.79,113.9,64,111.1,262,71.2,20,-0.023,249,-3.08,231,105.5,226,108.6,231,-2.53,245
134,North Dakota St.,Sum,21-11,2.77,115.4,54,112.7,298,65,303,-0.006,194,-3.1,233,107.5,125,110.6,350,-0.26,181
135,South Dakota St.,Sum,20-12,2.71,109.7,114,107,178,69.1,82,-0.018,233,-1.78,178,108.1,112,109.8,313,4.25,64
136,Wichita St.,Amer,19-13,2.36,106.7,175,104.4,124,68.5,115,0.057,55,0.99,125,107.2,136,106.2,134,1.11,134
137,Furman,SC,25-9,2.27,109.7,117,107.4,189,66.1,253,0.121,10,-1.67,176,106.4,175,108.1,199,0.28,159
138,Seattle,WAC,14-17,2.2,104.7,213,102.5,93,66.1,249,-0.138,364,-0.33,157,104.8,263,105.1,104,4.91,54
139,Robert Morris,Horz,26-8,2.05,107,169,105,133,67.9,143,0.088,27,-6.31,303,104.5,275,110.8,354,-8.71,352
140,UC Santa Barbara,BW,21-12,1.99,109.3,126,107.3,183,65.7,273,-0.004,189,-3,229,104.7,267,107.7,181,-8.7,351
141,Illinois St.,MVC,19-14,1.95,111.9,88,110,241,65.8,269,-0.015,220,0.02,146,107.5,123,107.5,173,-1.64,226
142,Murray St.,MVC,16-17,1.87,106.4,180,104.6,126,64.9,306,-0.05,309,1.37,116,107.6,118,106.3,135,1.16,132
143,East Tennessee St.,SC,19-13,1.86,106.8,174,104.9,132,65.2,295,-0.069,333,-3.43,244,105.9,202,109.3,276,-3.28,271
144,UNC Greensboro,SC,20-12,1.77,107.2,166,105.4,145,63.9,340,-0.016,225,-2.37,196,106.6,165,109,253,1.48,127
145,Milwaukee,Horz,21-11,1.75,107.3,162,105.6,148,68.8,98,0.004,169,-3.21,236,106,193,109.2,267,2.42,105
146,UC Riverside,BW,21-12,1.63,110.3,106,108.6,215,67.2,193,0.127,8,1.76,113,107.6,120,105.8,122,8.59,26
147,Davidson,A10,17-16,1.54,109.8,113,108.2,205,66,257,-0.02,236,0.42,136,106.5,171,106.1,128,-4.82,307
148,Tulane,Amer,18-13,1.14,107.9,149,106.7,172,66.8,212,-0.026,258,-2.17,187,106,199,108.1,205,-6.64,339
149,Rhode Island,A10,18-13,0.89,108.2,145,107.3,184,70.5,39,0.016,134,-0.69,161,105.8,209,106.5,141,-6.61,338
150,Bryant,AE,22-11,0.68,106.8,173,106.2,158,72.5,7,-0.004,188,-6.92,315,103.2,306,110.1,327,0.39,154
151,Radford,BSth,20-13,0.67,110.4,105,109.8,237,62.9,356,0.059,52,-2.13,186,106.8,156,109,246,1.4,129
